1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
226: Wiseman4 couldn't take right fork, now waiting
227: Wiseman4 couldn't take right fork, now waiting
228: Wiseman4 couldn't take right fork, now waiting
229: Wiseman4 couldn't take right fork, now waiting
230: Wiseman4 couldn't take right fork, now waiting
231: Wiseman4 couldn't take right fork, now waiting
232: Wiseman4 couldn't take right fork, now waiting
233: Wiseman4 couldn't take right fork, now waiting
234: Wiseman4 couldn't take right fork, now waiting
235: Wiseman4 couldn't take right fork, now waiting
236: Wiseman4 couldn't take right fork, now waiting
237: Wiseman4 couldn't take right fork, now waiting
238: Wiseman4 couldn't take right fork, now waiting
239: Wiseman4 couldn't take right fork, now waiting
240: Wiseman4 couldn't take right fork, now waiting
241: Wiseman4 couldn't take right fork, now waiting
242: Wiseman4 couldn't take right fork, now waiting
243: Wiseman4 couldn't take right fork, now waiting
244: Wiseman4 couldn't take right fork, now waiting
245: Wiseman4 couldn't take right fork, now waiting
246: Wiseman4 couldn't take right fork, now waiting
247: Wiseman4 couldn't take right fork, now waiting
248: Wiseman4 couldn't take right fork, now waiting
249: Wiseman4 couldn't take right fork, now waiting
250: Wiseman4 couldn't take right fork, now waiting
251: Wiseman4 couldn't take right fork, now waiting
252: Wiseman4 couldn't take right fork, now waiting
253: Wiseman4 couldn't take right fork, now waiting
254: Wiseman4 couldn't take right fork, now waiting
255: Wiseman4 couldn't take right fork, now waiting
256: Wiseman4 couldn't take right fork, now waiting
257: Wiseman4 couldn't take right fork, now waiting
258: Wiseman4 couldn't take right fork, now waiting
259: Wiseman4 couldn't take right fork, now waiting
260: Wiseman4 couldn't take right fork, now waiting
261: Wiseman4 couldn't take right fork, now waiting
262: Wiseman4 couldn't take right fork, now waiting
263: Wiseman4 couldn't take right fork, now waiting
264: Wiseman4 couldn't take right fork, now waiting
265: Wiseman4 couldn't take right fork, now waiting
266: Wiseman4 couldn't take right fork, now waiting
267: Wiseman4 couldn't take right fork, now waiting
268: Wiseman4 couldn't take right fork, now waiting
